crop,area,season,price
wheat,4,zaid,3614
rice,4,kharif,1066
rice,5,kharif,1848
maize,2,kharif,2038
barley,2,rabi,4870
wheat,7,kharif,3858
cotton,5,rabi,2588
wheat,4,rabi,2755
cotton,10,rabi,3601
cotton,10,kharif,3781
barley,1,rabi,2309
wheat,1,rabi,3869
barley,7,zaid,4153
rice,7,zaid,3404
cotton,6,zaid,3008
rice,7,kharif,4943
barley,2,rabi,2032
cotton,2,kharif,2005
millet,2,rabi,2555
millet,6,kharif,3472
barley,1,rabi,2268
cotton,8,kharif,3513
barley,2,kharif,3800
maize,10,zaid,4198
rice,9,rabi,1283
cotton,3,rabi,2125
millet,10,rabi,4282
cotton,1,rabi,3398
rice,9,rabi,1712
barley,5,kharif,1163
wheat,10,rabi,2747
rice,3,kharif,1815
barley,8,kharif,1023
barley,3,rabi,1179
wheat,3,kharif,2392
millet,10,rabi,1936
millet,8,zaid,4883
rice,2,kharif,1570
maize,10,zaid,1096
barley,8,rabi,4253
millet,7,kharif,3901
cotton,6,zaid,3226
rice,7,rabi,1137
wheat,7,zaid,3875
barley,2,kharif,1357
wheat,6,rabi,2643
cotton,4,kharif,1495
rice,3,kharif,3336
maize,4,rabi,3702
cotton,6,zaid,2077
barley,2,zaid,1759
cotton,7,kharif,3292
rice,4,kharif,1603
wheat,3,zaid,3873
barley,1,rabi,1245
cotton,1,kharif,3148
millet,5,zaid,3173
rice,5,kharif,2308
maize,8,kharif,1772
millet,8,rabi,2960
maize,2,kharif,2588
cotton,9,kharif,1598
millet,3,zaid,1595
rice,8,zaid,1297
cotton,3,kharif,3567
barley,6,kharif,4391
wheat,7,kharif,4081
barley,1,rabi,4197
barley,1,kharif,3751
millet,6,rabi,2842
cotton,4,zaid,4717
maize,8,zaid,4888
cotton,7,zaid,4571
millet,3,kharif,3453
cotton,5,rabi,4166
rice,7,zaid,1126
barley,2,zaid,1347
millet,3,zaid,1163
wheat,5,rabi,2150
barley,6,rabi,4425
cotton,10,rabi,4765
wheat,8,zaid,2997
barley,10,zaid,3294
millet,10,zaid,3707
cotton,3,rabi,2380
rice,8,rabi,3182
cotton,10,zaid,1257
wheat,5,rabi,4582
wheat,10,zaid,1933
wheat,6,kharif,3318
maize,6,rabi,1785
wheat,9,zaid,2685
wheat,5,zaid,2736
millet,4,zaid,4647
maize,5,kharif,3814
millet,6,zaid,3223
cotton,6,kharif,4268
barley,10,zaid,1710
rice,5,zaid,2011
maize,10,zaid,4401
wheat,3,zaid,4316
barley,6,kharif,2604
barley,5,zaid,2880
cotton,6,kharif,2043
cotton,2,rabi,1509
barley,9,rabi,1013
rice,4,rabi,4800
barley,8,zaid,3390
wheat,9,zaid,2722
maize,5,kharif,2751
millet,8,zaid,1442
barley,7,rabi,2282
rice,3,kharif,1503
wheat,1,kharif,4470
rice,5,kharif,3246
cotton,5,kharif,4210
rice,7,kharif,1163
millet,10,kharif,1040
rice,6,zaid,3947
wheat,5,rabi,1985
maize,4,zaid,3472
cotton,5,zaid,2448
maize,3,kharif,3267
cotton,6,kharif,1703
barley,4,zaid,3524
rice,3,kharif,3339
millet,10,rabi,4315
barley,2,kharif,2008
barley,4,kharif,2882
cotton,3,kharif,4758
maize,5,kharif,1012
maize,5,rabi,3374
cotton,7,rabi,1874
maize,2,kharif,2673
millet,8,rabi,1615
millet,7,zaid,4074
barley,1,zaid,4133
wheat,4,zaid,3013
barley,9,rabi,2319
rice,8,zaid,3521
barley,8,zaid,1841
wheat,3,zaid,1316
cotton,7,kharif,4227
barley,4,kharif,2287
wheat,7,rabi,2018
millet,5,kharif,2554
cotton,8,kharif,3811
cotton,4,zaid,3857
rice,8,zaid,4277
rice,7,zaid,2413
wheat,7,kharif,3010
barley,8,rabi,1366
barley,5,rabi,1936
wheat,6,rabi,2960
maize,3,kharif,4496
cotton,9,zaid,3174
maize,1,rabi,2493
rice,4,kharif,3896
maize,2,zaid,3848
cotton,1,rabi,1324
cotton,5,rabi,1610
wheat,3,rabi,2140
maize,4,rabi,2276
maize,9,kharif,1949
rice,10,kharif,3345
millet,3,rabi,3244
barley,7,kharif,1967
rice,4,zaid,3918
rice,2,kharif,2102
maize,9,kharif,4191
barley,9,rabi,3962
maize,3,zaid,4818
maize,4,kharif,2333
maize,5,zaid,4331
rice,9,zaid,4665
rice,7,kharif,1684
rice,8,kharif,4467
maize,4,zaid,4417
wheat,10,rabi,2894
maize,8,kharif,3909
rice,4,kharif,3621
cotton,1,kharif,2545
maize,1,rabi,2887
cotton,8,zaid,4089
barley,9,zaid,3974
barley,9,rabi,4940
millet,9,rabi,4221
cotton,10,zaid,4430
millet,7,rabi,3144
barley,3,zaid,4514
barley,3,kharif,1847
rice,10,rabi,4448
wheat,2,zaid,4703
barley,7,rabi,2226
wheat,1,rabi,2995
maize,1,kharif,2783
millet,3,rabi,4543
cotton,3,zaid,4251
wheat,7,kharif,1582
rice,4,rabi,2035
barley,7,rabi,3919
barley,6,kharif,2897
maize,7,kharif,2005
maize,2,rabi,2532
rice,6,rabi,4724
barley,7,kharif,3450
wheat,6,zaid,3259
barley,1,rabi,1277
wheat,6,kharif,2271
cotton,3,kharif,1414
maize,9,rabi,1245
rice,9,kharif,3583
cotton,6,kharif,2836
barley,6,zaid,2885
wheat,10,rabi,2167
wheat,1,zaid,3398
rice,8,rabi,2775
cotton,1,zaid,4192
cotton,10,zaid,1275
maize,7,rabi,3705
millet,8,zaid,3959
millet,5,kharif,1582
maize,2,zaid,2572
wheat,7,kharif,1171
rice,5,kharif,4905
maize,4,rabi,3331
maize,7,kharif,2748
cotton,10,rabi,4752
maize,1,kharif,1669
rice,5,zaid,2976
rice,4,rabi,4748
maize,8,kharif,1327
millet,8,rabi,3526
millet,6,rabi,4914
wheat,10,zaid,3244
millet,6,zaid,3723
wheat,9,kharif,3735
millet,10,zaid,3795
wheat,10,kharif,1926
rice,7,rabi,2114
wheat,9,rabi,3043
millet,7,kharif,4899
cotton,5,rabi,1436
maize,9,kharif,4459
maize,4,rabi,4707
maize,2,zaid,3220
cotton,6,rabi,4041
barley,7,zaid,2356
wheat,2,kharif,1665
cotton,8,zaid,1271
wheat,1,rabi,2662
barley,3,rabi,2938
rice,6,rabi,1484
wheat,4,rabi,4600
barley,7,zaid,1876
barley,7,kharif,2173
maize,10,kharif,2376
maize,10,rabi,3430
barley,2,kharif,1336
rice,1,kharif,3213
barley,8,kharif,4827
millet,3,kharif,1008
barley,3,kharif,1546
wheat,6,zaid,3808
millet,6,zaid,3342
rice,1,kharif,4657
wheat,6,kharif,1159
cotton,2,kharif,3516
rice,4,kharif,4674
barley,8,kharif,2094
cotton,5,zaid,4427
cotton,2,zaid,2165
maize,2,rabi,3482
wheat,3,zaid,4178
millet,9,kharif,3033
cotton,4,zaid,2162
rice,7,rabi,3723
maize,8,rabi,2469
cotton,5,rabi,3676
millet,7,rabi,4305
maize,5,zaid,2337
maize,4,rabi,1609
millet,3,kharif,1325
rice,10,kharif,1604
rice,8,kharif,1611
millet,2,rabi,4155
wheat,6,zaid,1979
millet,8,rabi,2678
rice,9,zaid,3407
wheat,4,rabi,3687
rice,6,kharif,2600
maize,6,kharif,1200
rice,5,rabi,1764
barley,8,zaid,4958
barley,6,rabi,1544
wheat,7,zaid,2289
cotton,3,kharif,4560
maize,5,rabi,1381
barley,6,kharif,1172
maize,4,zaid,3473
barley,5,kharif,3952
maize,7,kharif,4157
rice,6,zaid,2404
cotton,6,rabi,1011
rice,8,zaid,1826
maize,3,rabi,3786
millet,9,rabi,3174
barley,9,zaid,3508
cotton,4,rabi,4152
millet,1,rabi,4949
millet,10,zaid,2188
cotton,8,kharif,2165
wheat,1,rabi,3413
millet,2,rabi,4397
barley,8,zaid,3342
maize,6,zaid,1912
barley,5,rabi,4651
millet,1,kharif,3737
cotton,5,rabi,2086
rice,9,kharif,1166
maize,8,kharif,2626
rice,7,kharif,4926
rice,5,zaid,4335
cotton,7,kharif,3055
millet,5,zaid,3716
rice,8,zaid,1874
cotton,9,rabi,4193
rice,4,rabi,3296
millet,6,kharif,3232
millet,4,kharif,3806
barley,2,rabi,3649
maize,8,kharif,1407
maize,5,kharif,3692
wheat,5,rabi,1662
barley,4,zaid,1671
wheat,2,rabi,2267
cotton,9,zaid,1280
rice,3,kharif,4494
rice,4,kharif,4189
wheat,3,kharif,4133
barley,6,kharif,3049
cotton,8,zaid,1500
barley,10,rabi,4217
rice,6,kharif,2446
maize,7,kharif,3233
wheat,1,zaid,4294
rice,2,kharif,1597
wheat,3,zaid,4339
millet,9,kharif,2960
millet,6,kharif,2393
barley,7,kharif,4306
cotton,7,kharif,1686
maize,10,zaid,2980
cotton,2,zaid,1928
millet,8,zaid,4157
barley,7,rabi,3631
wheat,4,kharif,1149
barley,4,kharif,3338
wheat,1,zaid,4825
wheat,6,rabi,4070
rice,6,rabi,1349
maize,2,zaid,3132
cotton,2,zaid,1556
barley,8,zaid,3259
millet,6,kharif,3559
rice,6,kharif,2278
cotton,7,rabi,1159
rice,1,rabi,3723
maize,5,rabi,1626
wheat,6,rabi,1304
cotton,6,kharif,3040
wheat,5,rabi,1093
rice,5,rabi,1756
millet,2,kharif,4815
cotton,10,zaid,4488
rice,6,kharif,1389
wheat,6,rabi,4638
rice,3,zaid,1869
cotton,2,kharif,1201
wheat,5,zaid,4091
cotton,2,zaid,3248
cotton,9,rabi,4712
cotton,5,kharif,4667
barley,1,rabi,4763
barley,2,zaid,2365
wheat,1,kharif,1281
rice,10,kharif,1437
barley,1,rabi,4315
wheat,7,zaid,1437
wheat,3,zaid,4848
cotton,4,kharif,2368
maize,3,zaid,4760
cotton,2,zaid,4326
rice,8,kharif,3984
millet,3,kharif,4022
millet,9,kharif,2670
rice,9,rabi,3362
millet,4,rabi,3242
maize,1,rabi,1864
cotton,7,kharif,4379
cotton,5,rabi,1557
barley,10,rabi,4730
cotton,5,rabi,2020
cotton,2,zaid,2721
wheat,10,rabi,1005
rice,7,zaid,1783
millet,5,zaid,1525
cotton,3,zaid,3376
rice,4,kharif,3912
rice,4,kharif,4051
rice,2,zaid,2616
maize,4,rabi,4929
rice,10,kharif,3669
maize,2,zaid,1056
barley,2,rabi,1845
barley,3,kharif,3966
millet,2,rabi,2331
barley,7,zaid,3125
millet,5,rabi,3716
maize,3,kharif,2594
wheat,4,zaid,4514
millet,4,rabi,3002
wheat,7,kharif,2032
rice,7,rabi,1649
rice,1,zaid,2879
cotton,5,kharif,2693
rice,5,kharif,2160
wheat,3,rabi,4150
rice,8,zaid,1267
cotton,8,rabi,2241
millet,4,rabi,1822
millet,5,rabi,4946
barley,5,kharif,2967
maize,8,kharif,1070
maize,8,rabi,1896
cotton,9,zaid,4825
maize,2,rabi,3954
wheat,9,rabi,3825
rice,5,zaid,3115
wheat,7,kharif,1257
cotton,2,kharif,4681
wheat,5,kharif,4103
millet,9,zaid,3352
cotton,3,zaid,3035
cotton,1,kharif,4926
rice,6,zaid,4152
cotton,7,zaid,2397
rice,8,kharif,1767
rice,5,zaid,4130
barley,5,zaid,4295
wheat,10,kharif,3575
barley,10,zaid,3310
wheat,2,rabi,2932
cotton,4,kharif,2330
rice,6,rabi,2930
maize,9,rabi,3019
maize,7,zaid,1067
millet,2,kharif,3314
maize,4,rabi,4549
rice,4,rabi,2689
cotton,2,kharif,3789
cotton,8,zaid,1555
maize,4,kharif,2519
rice,1,rabi,1047
cotton,7,kharif,2148
millet,10,rabi,4658
maize,2,rabi,4782
maize,10,kharif,1383
wheat,10,zaid,4057
millet,4,kharif,2949
millet,5,zaid,1684
millet,1,rabi,4346
maize,7,rabi,1409
rice,9,zaid,1939
cotton,5,kharif,2749
millet,6,rabi,4085
barley,9,zaid,1672
rice,2,zaid,3341
rice,5,kharif,1704
maize,4,zaid,1185
millet,3,kharif,4388
maize,4,kharif,2208
barley,1,zaid,2841
maize,10,kharif,1128
rice,4,rabi,3568
wheat,7,kharif,3817
rice,3,rabi,2548
rice,3,rabi,1143
cotton,3,zaid,4452
barley,2,kharif,4131
maize,4,kharif,1629
barley,2,rabi,1939
millet,3,rabi,3923
cotton,9,zaid,3174
cotton,10,rabi,4630
barley,3,zaid,3182
millet,10,kharif,4906
barley,7,kharif,3502
barley,5,rabi,2065
cotton,4,zaid,4269
rice,4,rabi,2210
barley,9,rabi,4798
rice,10,kharif,4262
millet,3,kharif,1941
millet,9,kharif,3294
barley,7,zaid,3378
millet,3,kharif,3121
maize,9,kharif,4272
maize,4,kharif,3082
cotton,9,kharif,1989
cotton,9,kharif,2389
cotton,9,kharif,2063
wheat,6,zaid,1557
maize,1,rabi,3009
maize,3,kharif,3862
millet,2,zaid,1605
cotton,8,kharif,2729
millet,9,kharif,4021
wheat,8,kharif,3790
wheat,6,kharif,1135
rice,1,zaid,3829
rice,1,kharif,2320
maize,10,kharif,1338
millet,4,rabi,4903
rice,8,zaid,3652
wheat,1,zaid,4065
cotton,1,zaid,1613
wheat,6,rabi,3753
rice,9,zaid,2187
wheat,5,kharif,1348
cotton,3,zaid,3736
cotton,9,rabi,2176
barley,9,kharif,1616
maize,5,zaid,3546
rice,6,rabi,2920
rice,9,rabi,2914
rice,1,zaid,1200
rice,5,kharif,2547
wheat,6,kharif,2480
millet,9,rabi,3171
maize,7,rabi,3306
rice,4,rabi,1611
wheat,9,kharif,2317
wheat,1,rabi,2270
maize,10,rabi,3988
rice,9,zaid,1161
millet,8,kharif,2665
maize,4,rabi,3466
cotton,9,rabi,3531
wheat,1,zaid,4189
millet,9,kharif,1515
rice,1,rabi,4284
rice,2,rabi,2035
cotton,2,zaid,4748
cotton,1,rabi,3562
millet,5,zaid,1726
cotton,8,rabi,4606
maize,9,kharif,2548
millet,4,zaid,3653
rice,7,rabi,1992
maize,2,kharif,3853
barley,10,zaid,2208
millet,3,zaid,3340
millet,5,rabi,2218
maize,1,kharif,4602
barley,3,rabi,3958
millet,9,rabi,1876
rice,5,rabi,1336
barley,1,rabi,2194
millet,7,kharif,2452
wheat,5,kharif,1764
barley,4,zaid,3767
wheat,6,zaid,3798
maize,5,kharif,4928
millet,1,zaid,1346
barley,7,rabi,2684
wheat,5,zaid,3358
cotton,9,kharif,4162
maize,2,rabi,1988
cotton,9,zaid,1730
wheat,6,zaid,4983
maize,8,zaid,4406
millet,1,zaid,3819
wheat,1,rabi,3813
millet,1,rabi,1978
maize,4,kharif,4972
wheat,4,zaid,2055
cotton,6,zaid,1500
barley,4,kharif,4301
rice,2,kharif,3913
cotton,8,zaid,2910
millet,2,zaid,1197
cotton,4,kharif,3430
rice,4,rabi,1887
maize,7,zaid,2323
maize,1,rabi,4501
rice,2,kharif,4760
cotton,9,rabi,4106
wheat,7,kharif,2891
cotton,7,zaid,3950
cotton,1,kharif,4733
maize,4,kharif,4320
rice,10,kharif,2370
barley,2,zaid,1523
cotton,9,kharif,2001
millet,7,rabi,2934
millet,8,rabi,3987
wheat,10,kharif,4933
millet,7,kharif,4613
cotton,4,rabi,2506
cotton,6,kharif,4628
rice,2,rabi,3472
rice,2,zaid,3618
cotton,5,kharif,3208
wheat,4,kharif,2626
cotton,8,rabi,4432
rice,10,kharif,4098
barley,4,kharif,4338
millet,3,kharif,3484
cotton,9,kharif,1301
maize,8,rabi,2372
wheat,7,kharif,1377
wheat,1,zaid,4055
millet,5,kharif,3128
cotton,7,zaid,1175
wheat,1,rabi,1973
barley,7,rabi,2783
millet,1,zaid,3841
rice,2,zaid,1527
barley,1,kharif,4866
maize,1,zaid,4624
maize,6,rabi,2629
cotton,2,kharif,2582
maize,8,kharif,2312
millet,4,kharif,4902
maize,4,rabi,4676
wheat,6,kharif,4348
barley,9,zaid,1751
barley,10,kharif,2988
millet,8,rabi,4125
cotton,3,zaid,1863
cotton,5,rabi,4070
rice,2,kharif,2245
cotton,1,zaid,2832
maize,6,rabi,1972
barley,9,zaid,4660
cotton,3,rabi,1188
maize,4,zaid,2533
cotton,2,kharif,1419
millet,6,rabi,3830
millet,1,zaid,4367
rice,9,rabi,3312
cotton,2,rabi,2170
cotton,3,kharif,3927
barley,5,zaid,4306
maize,7,zaid,3892
cotton,10,zaid,2723
cotton,10,rabi,4561
millet,5,zaid,3628
cotton,10,zaid,3989
millet,8,kharif,4641
cotton,5,kharif,3192
wheat,10,rabi,3608
cotton,4,kharif,2353
cotton,2,rabi,1087
cotton,5,zaid,3534
maize,3,kharif,1443
maize,4,rabi,4197
maize,7,rabi,3309
cotton,1,rabi,3548
millet,1,zaid,2937
maize,7,zaid,1482
barley,7,kharif,3629
barley,3,zaid,1884
wheat,9,zaid,1934
cotton,10,kharif,2334
millet,10,rabi,3663
maize,9,kharif,3692
cotton,1,rabi,4391
rice,6,rabi,4634
millet,2,kharif,4695
millet,10,zaid,2778
wheat,1,zaid,4295
maize,7,zaid,4125
wheat,9,zaid,1600
barley,5,kharif,4209
cotton,7,zaid,2549
wheat,7,zaid,1298
maize,1,zaid,2973
barley,2,zaid,4402
millet,3,kharif,4306
cotton,6,zaid,2379
rice,5,kharif,4183
wheat,7,zaid,1610
maize,10,rabi,4480
cotton,5,zaid,4682
rice,1,kharif,2959
maize,1,kharif,3734
cotton,7,zaid,2600
barley,2,kharif,1478
barley,9,kharif,1307
rice,4,zaid,2371
rice,1,kharif,2536
cotton,1,zaid,3655
wheat,2,rabi,3579
cotton,2,zaid,2316
rice,8,rabi,4168
maize,9,kharif,4571
cotton,8,zaid,2684
millet,3,kharif,3989
wheat,4,zaid,2146
wheat,1,rabi,2804
barley,10,rabi,2600
maize,1,zaid,4862
barley,3,zaid,2651
barley,3,zaid,1561
wheat,1,zaid,4271
rice,8,zaid,3561
barley,7,kharif,1659
cotton,10,kharif,4150
wheat,1,rabi,4836
cotton,9,rabi,1275
maize,4,kharif,2859
maize,2,kharif,4908
wheat,6,zaid,4811
maize,4,rabi,4751
barley,2,rabi,3231
rice,8,kharif,1839
maize,2,kharif,3469
maize,1,rabi,1461
maize,7,kharif,4379
cotton,6,kharif,2915
barley,9,zaid,4999
wheat,7,kharif,1779
maize,8,kharif,4651
millet,9,rabi,2257
wheat,10,kharif,3973
maize,10,rabi,1195
maize,7,rabi,3090
rice,2,rabi,2128
wheat,1,kharif,2850
maize,5,kharif,2631
barley,9,kharif,4799
maize,8,zaid,4239
barley,9,kharif,4748
maize,2,kharif,4415
maize,2,rabi,4662
cotton,9,kharif,1419
millet,4,rabi,3127
barley,3,zaid,3236
wheat,8,zaid,3813
cotton,8,kharif,4104
barley,4,zaid,1995
rice,9,kharif,3226
millet,6,rabi,1119
wheat,4,zaid,4073
barley,1,rabi,4217
millet,10,zaid,3945
millet,7,rabi,3788
rice,8,rabi,3867
rice,7,rabi,1966
barley,9,kharif,4522
rice,6,kharif,2540
cotton,3,kharif,3698
maize,3,kharif,3577
wheat,6,zaid,1652
rice,7,zaid,4577
millet,6,kharif,4183
wheat,9,rabi,4838
rice,5,rabi,3332
maize,2,zaid,3667
maize,2,zaid,1568
wheat,10,rabi,4968
barley,10,kharif,3283
cotton,9,zaid,2099
maize,7,zaid,3494
cotton,5,zaid,4555
rice,3,kharif,4654
rice,6,kharif,4896
cotton,4,zaid,4447
cotton,7,zaid,3450
millet,5,zaid,4969
wheat,3,rabi,4614
cotton,6,zaid,3497
cotton,9,zaid,1270
millet,2,rabi,2420
barley,9,zaid,2875
rice,8,kharif,2462
maize,4,zaid,2645
barley,7,rabi,1802
cotton,3,kharif,4825
cotton,8,rabi,2558
rice,10,kharif,3946
millet,8,rabi,3500
cotton,8,rabi,3219
maize,10,zaid,4749
barley,9,rabi,3943
maize,3,rabi,3114
cotton,4,rabi,4071
rice,9,rabi,3791
cotton,1,rabi,3635
maize,4,rabi,1212
millet,5,kharif,3717
wheat,7,rabi,3980
cotton,6,zaid,2870
cotton,1,kharif,3756
rice,3,rabi,4685
cotton,3,zaid,2403
wheat,5,rabi,1747
cotton,7,rabi,3431
barley,4,kharif,2445
cotton,5,kharif,3614
maize,3,zaid,3181
millet,10,rabi,4233
barley,4,kharif,3237
cotton,2,rabi,2658
maize,5,kharif,3803
millet,6,kharif,3183
wheat,8,kharif,4743
wheat,7,kharif,4967
cotton,3,rabi,4875
cotton,4,zaid,1910
wheat,9,zaid,4201
millet,6,kharif,1915
cotton,2,zaid,3910
barley,6,rabi,1105
millet,8,zaid,2076
barley,9,rabi,1064
cotton,6,rabi,4166
millet,5,rabi,1918
rice,4,rabi,3572
cotton,2,zaid,4661
cotton,10,kharif,4794
rice,8,zaid,2983
maize,1,kharif,3136
millet,6,zaid,1966
wheat,1,kharif,4434
wheat,4,rabi,2259
rice,6,rabi,2858
rice,6,rabi,1828
rice,4,zaid,1710
wheat,10,kharif,4348
barley,8,zaid,4464
cotton,2,kharif,4271
barley,8,rabi,1187
rice,10,rabi,4902
maize,2,rabi,4892
rice,1,rabi,1726
barley,7,zaid,3167
rice,10,zaid,2936
cotton,1,zaid,4000
maize,8,kharif,2112
wheat,3,kharif,4459
cotton,9,zaid,4508
wheat,7,kharif,4646
maize,6,zaid,4314
barley,7,kharif,4913
wheat,10,zaid,2701
barley,9,rabi,2144
wheat,3,kharif,3018
millet,6,zaid,2381
millet,5,zaid,3589
wheat,10,rabi,4950
wheat,6,zaid,4447
cotton,5,kharif,3056
maize,5,zaid,4729
rice,2,zaid,2753
wheat,1,kharif,4819
rice,1,kharif,1638
wheat,6,zaid,1940
cotton,4,kharif,4925
maize,3,zaid,4593
rice,6,rabi,1283
maize,1,rabi,2392
barley,1,zaid,1835
millet,7,zaid,4023
maize,2,rabi,2242
wheat,9,zaid,3526
barley,7,zaid,3539
millet,8,kharif,3046
millet,4,rabi,2839
millet,8,zaid,4888
wheat,7,kharif,4059
rice,3,rabi,4465
cotton,3,rabi,2179
maize,2,zaid,1894
maize,9,kharif,4018
maize,4,kharif,1517
maize,10,kharif,4599
millet,1,zaid,2248
cotton,2,kharif,2544
millet,1,kharif,3128
maize,7,rabi,3005
maize,4,zaid,3264
barley,6,kharif,3181
maize,8,rabi,3124
millet,2,zaid,2867
maize,3,rabi,2966
barley,6,rabi,4059
wheat,9,zaid,2088
barley,3,rabi,1633
cotton,1,rabi,1583
cotton,2,zaid,4345
millet,8,rabi,4684
millet,9,kharif,3988
rice,7,kharif,3250
maize,8,kharif,3643
barley,3,kharif,2872
millet,4,kharif,2814
millet,4,zaid,3684
cotton,3,kharif,2334
maize,3,kharif,3361
cotton,10,kharif,4035
barley,3,kharif,4001
barley,6,zaid,4497
cotton,2,zaid,2241
maize,9,zaid,1589
maize,3,rabi,3675
wheat,4,zaid,4504
cotton,4,rabi,3277
wheat,5,rabi,1500
barley,8,zaid,4046
barley,4,kharif,4310
barley,5,kharif,4858
rice,10,rabi,2069
wheat,10,rabi,3503
millet,2,kharif,4658
barley,10,zaid,2797
rice,3,zaid,1714
barley,2,kharif,1227
wheat,4,zaid,4690
cotton,8,zaid,4730
barley,2,kharif,3008
millet,6,kharif,3373
cotton,9,kharif,1535
maize,1,zaid,4083
rice,3,rabi,2626
millet,1,zaid,1771
maize,1,kharif,2086
cotton,8,zaid,4321
millet,8,zaid,3062
cotton,10,rabi,2430
millet,4,zaid,4030
millet,6,zaid,3106
wheat,3,kharif,3610
cotton,7,kharif,4271
rice,4,kharif,2139
wheat,4,rabi,3643
rice,10,zaid,2313
rice,8,kharif,2420
maize,4,zaid,3336
rice,1,kharif,3633
cotton,3,zaid,4857
cotton,6,zaid,1098
rice,5,kharif,2957
wheat,9,kharif,1232
cotton,4,kharif,3361
barley,8,kharif,1861
millet,10,rabi,1380
cotton,2,kharif,2629
rice,3,zaid,1621
rice,4,kharif,1483
millet,8,rabi,2911
millet,3,kharif,1471
cotton,2,kharif,1461
barley,7,kharif,1530
maize,1,kharif,3529
millet,1,rabi,1557
millet,6,zaid,4041
cotton,8,kharif,1810
cotton,4,kharif,2202
cotton,4,rabi,2557
wheat,4,zaid,1054
millet,3,rabi,3664
millet,5,zaid,1424
maize,5,kharif,1411
rice,5,kharif,4235
cotton,7,zaid,3149
maize,6,kharif,3361
millet,6,kharif,1614
cotton,5,rabi,1527
rice,10,kharif,3869
wheat,6,zaid,2558
rice,1,kharif,3931
millet,10,zaid,2414
maize,10,rabi,4373
rice,2,kharif,4968
barley,2,kharif,2128
maize,7,rabi,3251
wheat,9,rabi,2586
wheat,3,kharif,4466
rice,5,kharif,4637
millet,3,kharif,1576
barley,1,rabi,1504
wheat,10,kharif,2963
maize,9,rabi,2138
rice,3,zaid,3537
rice,8,zaid,3955
rice,7,rabi,4530
cotton,1,rabi,1934
